institution_code,institution_name,email,akreditasi_institusi,link
176,STIKES Karya Putra Bangsa Tulungagung,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73168
177,STIKES Katolik St Vincentius A Paulo Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73133
178,STIKES Muhammadiyah Bojonegoro,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73169
179,STIKES Pamenang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73180
180,STIKES Panti Waluya Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73178
181,STIKES Patria Husada,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73135
182,STIKES RS Baptis Kediri,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73142
183,STIKES Satria Bhakti Nganjuk,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73138
184,STIKES Widyagama Husada Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73145
185,STIKES Yayasan RS. Dr. Soetomo,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73163
186,STKIP Al Hikmah Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73167
187,STKIP Bina Insan Mandiri,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73129
188,STKIP Modern Ngawi,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73170
189,STKIP Muhammadiyah Lumajang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73035
190,STKIP PGRI Bangkalan,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73049
191,STKIP PGRI Lumajang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73033
192,STKIP PGRI Nganjuk,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73041
193,STKIP PGRI Pacitan,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73065
194,STKIP PGRI Ponorogo,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73044
195,STKIP PGRI Sampang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73050
196,STKIP PGRI Situbondo,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73032
197,STKIP PGRI Sumenep,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73051
198,STKIP PGRI Trenggalek,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73045
199,STKIP Widya Yuwana,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73042
200,STMIK Cahaya Surya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73117
201,STMIK PPKIA Pradnya Paramita,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/73104
202,Universitas 17 Agustus 1945 Banyuwangi,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71035
203,Universitas 17 Agustus 1945 Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71001
204,Universitas 45 Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71016
205,Universitas Abdurachman Saleh Situbondo,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71104
206,Universitas Annuqayah,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71116
207,Universitas Anwar Medika,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71108
208,Universitas Bakti Indonesia,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71078
209,Universitas Bhayangkara Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71010
210,Universitas Bhinneka PGRI,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71101
211,Universitas Billfath,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71093
212,Universitas Bina Sehat PPNI Mojokerto,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71109
213,Universitas Bojonegoro,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71046
214,Universitas Bondowoso,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71037
215,Universitas Ciputra Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71071
216,Universitas Darul ulum,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71023
217,Universitas Darussalam Gontor,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71085
218,Universitas Dinamika,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71099
219,Universitas Doktor Nugroho Magetan,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71092
220,Universitas Dr Soetomo,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71005
221,Universitas dr. Soebandi,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71107
222,Universitas Gajayana,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71051
223,Universitas Gresik,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71020
224,Universitas Hafshawaty Zainul Hasan,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71114
225,Universitas Hang Tuah,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71056
226,Universitas Hasyim Asy'ari Tebuireng Jombang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71080
227,Universitas Hayam Wuruk Perbanas,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71105
228,Universitas Ibrahimy,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71095
229,Universitas Insan Budi Utomo,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/71111
