institution_code,institution_name,akreditasi_institusi,wilayah
328,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER MULIA DARMA,BAIK,WILAYAH 01
329,AKADEMI OPTOMETRI YOGYAKARTA,BAIK,WILAYAH 05
330,ST AGAMA KRISTEN WILLIAM BOOTH JAKARTA,BAIK,WILAYAH PTAS
331,AKADEMI MANAJEMEN INFORMATIKA DAN KOMPUTER JOMBANG,TIDAK TERAKREDITASI,WILAYAH 07
332,UNIVERSITAS PATOMPO,BAIK,WILAYAH 09
333,SEKOLAH TINGGI ILMU EKONOMI ARLINDO,BAIK,WILAYAH 04
334,SEKOLAH TINGGI TEOLOGI HKBP,BAIK SEKALI,WILAYAH PTAS
335,SEKOLAH TINGGI ILMU TEKNIK BINA PUTRA,TIDAK TERAKREDITASI,WILAYAH 04
337,SEKOLAH TINGGI ILMU EKONOMI YP-KARYA,TIDAK TERAKREDITASI,WILAYAH 04
339,SEKOLAH TINGGI ILMU EKONOMI KUALA KAPUAS,TIDAK TERAKREDITASI,WILAYAH 11
340,SEKOLAH TINGGI BAHASA ASING CIPTO HADI PRANOTO,BAIK,WILAYAH 04
341,INSTITUT TEKNOLOGI DAN KESEHATAN ASPIRASI,BAIK,WILAYAH 08
342,STAI DARUL QALAM TANGERANG,BAIK,WILAYAH PTAS
343,STMIK METHODIST BINJAI,BAIK,WILAYAH 01
344,SEKOLAH TINGGI TEOLOGI BAPTIS INDONESIA,BAIK,WILAYAH PTAS
345,SEKOLAH TINGGI ILMU EKONOMI DAHANI DAHANAI BUNTOK,BAIK,WILAYAH 11
346,STT JEMAAT KRISTUS INDONESIA SALATIGA,BAIK,WILAYAH PTAS
347,UNIVERSITAS CENDERAWASIH,B,WILAYAH PTN
348,UNIVERSITAS JANABADRA,B,WILAYAH 05
350,"STAI SOLOK NAN INDAH, KOTA PADANG",BAIK,WILAYAH PTAS
351,"STAI RAHMANIYAH SEKAYU, MUSI BANYUASIN, SUMATERA SELATAN",BAIK,WILAYAH PTAS
352,SEKOLAH TINGGI TEOLOGI SAAT,B,WILAYAH PTAS
353,UNIVERSITAS WIDYA KARTIKA,BAIK,WILAYAH 07
354,STT  INTERNASIONAL HARVEST SEMARANG,BAIK,WILAYAH PTAS
355,UNIVERSITAS PAWYATAN DAHA,BAIK,WILAYAH 07
356,SEKOLAH TINGGI ILMU EKONOMI YAPAN,B,WILAYAH 07
357,AKADEMI KESEHATAN SINAR KASIH TORAJA,BAIK,WILAYAH 09
358,AKADEMI KEBIDANAN WIYATA MITRA HUSADA NGANJUK,BAIK,WILAYAH 07
359,SEKOLAH TINGGI TEOLOGI TERPADU WAINGAPU,BAIK,WILAYAH PTAS
360,STMIK ADHI GUNA,BAIK,WILAYAH 16
361,AKADEMI KEPERAWATAN YATNA YUANA LEBAK,BAIK,WILAYAH 04
363,UNIVERSITAS JAYABAYA,UNGGUL,WILAYAH 03
364,UNIVERSITAS MUHAMMADIYAH TANGERANG,UNGGUL,WILAYAH 04
365,SEKOLAH TINGGI AGAMA ISLAM SUMBAWA,BAIK,WILAYAH PTAS
368,UNIVERSITAS KRISTEN CIPTA WACANA,BAIK SEKALI,WILAYAH 07
370,STIT TARBIYATUN NISA SENTUL-BOGOR,BAIK,WILAYAH PTAS
372,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN NABIRE,BAIK,WILAYAH 14
373,SEKOLAH TINGGI ILMU KESEHATAN MASYARAKAT ABDI NUSA,BAIK SEKALI,WILAYAH 02
374,SEKOLAH TINGGI TEKNIK ISKANDAR THANI,BAIK,WILAYAH 13
375,POLITEKNIK ISTIKOM BINA CITRA INFORMATIKA,BAIK,WILAYAH 04
376,INSTITUT RAHMANIYAH SEKAYU,BAIK,WILAYAH 02
377,SEKOLAH TINGGI TEOLOGI MISI INJILI INDONESIA SINTANG,BAIK,WILAYAH PTAS
379,POLITEKNIK SIBER CERDIKA INTERNASIONAL,BAIK,WILAYAH 04
380,INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH GROBOGAN,BAIK,WILAYAH 06
381,SEKOLAH TINGGI ILMU KESEHATAN SISMADI,BAIK,WILAYAH 03
383,AKADEMI OLAHRAGA PRESTASI NASIONAL,BAIK SEKALI,WILAYAH 03
384,POLITEKNIK SAINS SENI REKAKREASI,BAIK,WILAYAH 04
385,SEKOLAH TINGGI ILMU KESEHATAN PATRIOT BANGSA LAMPUNG,BAIK,WILAYAH 02
386,UNIVERSITAS ISLAM MAKASSAR,B,WILAYAH 09
387,UNIVERSITAS LANCANG KUNING,BAIK SEKALI,WILAYAH 17
389,UNIVERSITAS SERANG RAYA,B,WILAYAH 04
390,UNIVERSITAS TEKNOLOGI DIGITAL INDONESIA,B,WILAYAH 05
391,UNIVERSITAS GORONTALO,B,WILAYAH 16
392,UNIVERSITAS NAHDLATUL ULAMA SUNAN GIRI,BAIK SEKALI,WILAYAH 07
393,INSTITUT KESEHATAN DELI HUSADA DELI TUA,UNGGUL,WILAYAH 01
394,INSTITUT TEKNOLOGI DAN BISNIS SABDA SETIA,BAIK,WILAYAH 11
395,INSTITUT SAINS DAN KEPENDIDIKAN KIE RAHA MALUKU UTARA,BAIK,WILAYAH 12
396,STMIK DHARMAPALA RIAU,BAIK,WILAYAH 17
397,SEKOLAH TINGGI ILMU HUKUM SOELTHAN M TSJAFIOEDDIN,BAIK,WILAYAH 11
398,UNIVERSITAS BINA SARANA INFORMATIKA,UNGGUL,WILAYAH 03
399,SEKOLAH TINGGI AGAMA ISLAM SALAFIYAH BANGIL,BAIK,WILAYAH PTAS
400,SEKOLAH TINGGI AGAMA ISLAM AL-AKBAR SURABAYA,BAIK,WILAYAH PTAS
401,SEKOLAH TINGGI ILMU ADMINISTRASI AMUNTAI,BAIK SEKALI,WILAYAH 11
402,STMIK WIDYA CIPTA DHARMA,B,WILAYAH 11
403,SEKOLAH TINGGI AGAMA BUDDHA NEGERI SRIWIJAYA TANGERANG,BAIK,WILAYAH PTAN
404,SEKOLAH TINGGI AGAMA ISLAM KH. MUHAMMAD ALI SHODIQ,BAIK,WILAYAH PTAS
405,AKADEMI BAHASA ASING INTERNASIONAL BANDUNG,BAIK,WILAYAH 04
406,UNIVERSITAS MUSI RAWAS,BAIK,WILAYAH 02
407,UNIVERSITAS SETIA BUDHI RANGKASBITUNG,BAIK,WILAYAH 04
408,UNIVERSITAS COKROAMINOTO PALOPO,BAIK SEKALI,WILAYAH 09
409,STIT MUHAMMADIYAH BOJONEGORO,B,WILAYAH PTAS
410,SEKOLAH TINGGI TEKNOLOGI MANDALA,BAIK,WILAYAH 04
411,INSTITUT AGAMA ISLAM NEGERI BONE,B,WILAYAH PTAN
412,UNIVERSITAS DARMA PERSADA,B,WILAYAH 03
413,SEKOLAH TINGGI AGAMA ISLAM DARUL HIKMAH TULUNGAGUNG,BAIK,WILAYAH PTAS
414,POLITEKNIK MERCUSUAR INDONESIA,BAIK,WILAYAH 07
415,STT SALATIGA,BAIK,WILAYAH PTAS
416,UNIVERSITAS KATOLIK DARMA CENDIKA,B,WILAYAH 07
418,UNIVERSITAS MUHAMMADIYAH MANADO,BAIK,WILAYAH 16
419,INSTITUT AGAMA ISLAM CIREBON,BAIK,WILAYAH PTAS
420,STIKS TARAKANITA,B,WILAYAH 03
421,POLITEKNIK NUSANTARA BALIKPAPAN,BAIK,WILAYAH 11
422,UNIVERSITAS PANJI SAKTI SINGARAJA,BAIK,WILAYAH 08
423,STAI SANGATTA,B,WILAYAH PTAS
424,UNIVERSITAS PRADITA,BAIK SEKALI,WILAYAH 03
425,SEKOLAH TINGGI ILMU PERTANIAN SURYA DHARMA,BAIK,WILAYAH 02
426,AKADEMI TATA BOGA BANDUNG,BAIK SEKALI,WILAYAH 04
427,AKADEMI AKUNTANSI BOROBUDUR,BAIK,WILAYAH 03
428,SEKOLAH TINGGI TEOLOGI BINA MUDA WIRAWAN MEDAN,BAIK,WILAYAH PTAS
429,POLITEKNIK KEPRIBADIAN,BAIK,WILAYAH 04
430,AKADEMI MANAJEMEN PUTRA JAYA,BAIK,WILAYAH 05
431,STISIP BINA GENERASI POLEWALI,BAIK,WILAYAH 09
432,POLITEKNIK NEGERI MALANG,UNGGUL,WILAYAH PTN
433,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAM BADRI MASHDUQI,BAIK,WILAYAH PTAS
434,POLITEKNIK BALI MAHA WERDHI,BAIK,WILAYAH 08
435,SEKOLAH TINGGI ILMU KESEHATAN SIHAT BEURATA BANDA ACEH,BAIK,WILAYAH 13
436,"STAI BALAISELASA YPPTI PESISIR SELATAN, SUMATERA BARAT",BAIK,WILAYAH PTAS
437,SEKOLAH TINGGI ILMU EKONOMI DAN BISNIS SYARIAH NAHDLATUL ULAMA GARUT,BAIK,WILAYAH PTAS
438,STISIPOL PAHLAWAN 12,BAIK,WILAYAH 02
439,STIA ABDUL AZIS KATALOKA,BAIK,WILAYAH 12
440,UNIVERSITAS NAHDLATUL ULAMA GORONTALO,BAIK SEKALI,WILAYAH 16
441,UNIVERSITAS DUTA BANGSA SURAKARTA,UNGGUL,WILAYAH 06
442,STAI DUTA BANGSA BEKASI,BAIK,WILAYAH PTAS
443,UNIVERSITAS DHARMA WACANA,B,WILAYAH 02
444,INSTITUT NALANDA,BAIK,WILAYAH PTAS
445,STIT AL-ANSHAR TANJUNG SELOR BULUNGAN,BAIK,WILAYAH PTAS
446,POLITEKNIK JATILUHUR,BAIK,WILAYAH 04
447,UNIVERSITAS BINA DARMA,UNGGUL,WILAYAH 02
448,POLITEKNIK PARIWISATA MAKASSAR,UNGGUL,WILAYAH PTKL
449,INSTITUT ILMU KESEHATAN BHAKTI WIYATA KEDIRI,UNGGUL,WILAYAH 07
450,SEKOLAH TINGGI ILMU EKONOMI SYARIAH NAHDLATUL ULAMA BENGKULU,BAIK SEKALI,WILAYAH PTAS
451,UNIVERSITAS PGRI JOMBANG,BAIK SEKALI,WILAYAH 07
452,SEKOLAH TINGGI AGAMA ISLAM MOROWALI,BAIK,WILAYAH PTAS
453,INSTITUT AGAMA ISLAM ABDULLAH SAID BATAM,BAIK,WILAYAH PTAS
454,SEKOLAH TINGGI EKONOMI ISLAM NAHDLATUL ULAMA SUBANG JAWA BARAT,BAIK,WILAYAH PTAS
455,SEKOLAH TINGGI AGAMA ISLAM RAUDHATUL ULUM ARRAHMANIYAH SAMPANG,BAIK,WILAYAH PTAS
456,SEKOLAH TINGGI ILMU DAKWAH DAN KOMUNIKASI ISLAM NAHDLATUL ULAMA INDRAMAYU,BAIK,WILAYAH PTAS
457,POLITEKNIK MEDICA FARMA HUSADA MATARAM,BAIK SEKALI,WILAYAH 08
458,INSTITUT TEKNOLOGI DAN BISNIS JAKARTA,BAIK,WILAYAH 03
459,INSTITUT SENI BUDAYA INDONESIA TANAH PAPUA,BAIK,WILAYAH PTN
460,SEKOLAH TINGGI ILMU MANAJEMEN PASE,BAIK,WILAYAH 13
461,INSTITUT TEKNOLOGI DAN SAINS NAHDLATUL ULAMA KALIMANTAN,BAIK,WILAYAH 11
462,UNIVERSITAS MATARAM,UNGGUL,WILAYAH PTN
463,UNIVERSITAS SWADAYA GUNUNG DJATI,UNGGUL,WILAYAH 04
465,SEKOLAH TINGGI TEKNOLOGI DUTA BANGSA,BAIK,WILAYAH 04
467,UNIVERSITAS PGRI PONTIANAK,B,WILAYAH 11
468,SEKOLAH TINGGI AGAMA ISLAM SALAHUDDIN PASURUAN,BAIK,WILAYAH PTAS
469,STAI NURUL HIDAYAH,BAIK,WILAYAH PTAS
470,AKADEMI TEKNIK TIRTA WIYATA,BAIK,WILAYAH 06
471,UNIVERSITAS NAHDLATUL ULAMA AL GHAZALI CILACAP,BAIK SEKALI,WILAYAH 06
472,SEKOLAH TINGGI ILMU EKONOMI MAHARDHIKA,B,WILAYAH 07
473,UNIVERSITAS ISLAM NEGERI SIBER SYEKH NURJATI CIREBON,UNGGUL,WILAYAH PTAN
474,INSTITUT TEKNOLOGI DAN KESEHATAN BALI,UNGGUL,WILAYAH 08
475,UNIVERSITAS ISLAM AL-AZHAR,BAIK SEKALI,WILAYAH 08
476,SEKOLAH TINGGI AGAMA BUDDHA DHARMA WIDYA,BAIK SEKALI,WILAYAH PTAS
477,UNIVERSITAS MUHAMMADIYAH MALUKU,BAIK,WILAYAH 12
478,UNIVERSITAS MEDIA NUSANTARA CITRA,BAIK SEKALI,WILAYAH 03
479,AKADEMI FARMASI BINA FARMASI,BAIK,WILAYAH 16
480,SEKOLAH TINGGI ILMU EKONOMI PERDAGANGAN,BAIK,WILAYAH 10
481,INSTITUT AGAMA ISLAM MIFTAHUL ULUM LUMAJANG,BAIK SEKALI,WILAYAH PTAS
482,POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN,B,WILAYAH PTN
483,UNIVERSITAS MUHAMMADIYAH BULUKUMBA,BAIK,WILAYAH 09
484,SEKOLAH TINGGI EKONOMI ISLAM BINA MUDA BANDUNG,BAIK SEKALI,WILAYAH PTAS
485,POLITEKNIK BATULICIN,BAIK,WILAYAH 11
486,INSTITUT TEKNOLOGI DAN BISNIS RIYADLUL ULUM,BAIK,WILAYAH 04
488,POLITEKNIK PALU,BAIK,WILAYAH 16
490,INSTITUT TEKNOLOGI KESEHATAN DAN SAINS MUHAMMADIYAH SIDRAP,BAIK SEKALI,WILAYAH 09
491,UNIVERSITAS SILIWANGI,UNGGUL,WILAYAH PTN
493,UNIVERSITAS SANGGA BUANA,UNGGUL,WILAYAH 04
494,INSTITUT AGAMA ISLAM NEGERI CURUP,BAIK SEKALI,WILAYAH PTAN
495,AKADEMI PARIWISATA 45 JAYAPURA,BAIK,WILAYAH 14
496,UNIVERSITAS SARI MUTIARA INDONESIA MEDAN,BAIK SEKALI,WILAYAH 01
497,UNIVERSITAS MUHAMMADIYAH KALIANDA,BAIK SEKALI,WILAYAH 02
498,STMIK PONTIANAK,BAIK,WILAYAH 11
499,STPAK ST. YOHANES PENGINJIL AMBON,BAIK SEKALI,WILAYAH PTAS
500,UNIVERSITAS MAYJEN SUNGKONO,BAIK SEKALI,WILAYAH 07
501,SEKOLAH TINGGI ISLAM SUNNIYYAH SELO GROBOGAN,BAIK,WILAYAH PTAS
502,SEKOLAH TINGGI AGAMA ISLAM IDRISIYYAH,BAIK,WILAYAH PTAS
503,POLITEKNIK LINGGA,BAIK,WILAYAH 17
504,SEKOLAH TINGGI TEKNOLOGI PRATAMA ADI,BAIK,WILAYAH 04
505,AKADEMI KESEHATAN KONAWE,BAIK,WILAYAH 09
506,SEKOLAH TINGGI TEOLOGI BLESSING INDONESIA MAKASSAR,BAIK,WILAYAH PTAS
507,AKADEMI INOVASI INDONESIA,BAIK,WILAYAH 06
508,AKADEMI KEPERAWATAN PRIMAYA,BAIK,WILAYAH 06
509,AKADEMI KEBIDANAN MANNA,BAIK,WILAYAH 02
510,AKADEMI KEBIDANAN MUNAWARRAH BIREUEN,BAIK SEKALI,WILAYAH 13
511,SEKOLAH TINGGI MANAJEMEN TRANSPORTASI MALAHAYATI,BAIK,WILAYAH 03
512,POLITEKNIK ENJINERING INDORAMA,BAIK,WILAYAH 04
513,SEKOLAH TINGGI ILMU ADMINISTRASI ASY SYAFI IYAH,BAIK,WILAYAH 14
514,SEKOLAH TINGGI ILMU EKONOMI TAMANSISWA,BAIK SEKALI,WILAYAH 06
515,SEKOLAH TINGGI ILMU TARBIYAH RAKEYAN SANTANG KARAWANG JAWA BARAT,BAIK SEKALI,WILAYAH PTAS
516,UNIVERSITAS GRAHA KARYA MUARA BULIAN,BAIK,WILAYAH 10
517,SEKOLAH TINGGI AGAMA ISLAM AL-KIFAYAH RIAU,BAIK,WILAYAH PTAS
518,SEKOLAH TINGGI ILMU KOMPUTER PGRI BANYUWANGI,BAIK,WILAYAH 07
519,UNIVERSITAS MUHAMMADIYAH PARE-PARE,BAIK SEKALI,WILAYAH 09
520,UNIVERSITAS MUHAMMADIYAH GOMBONG,BAIK SEKALI,WILAYAH 06
522,STAI MA`ARIF KALIREJO LAMPUNG TENGAH,BAIK,WILAYAH PTAS
523,INSTITUT TEKNOLOGI KESEHATAN MALANG WIDYA CIPTA HUSADA,BAIK,WILAYAH 07
524,"STAI BUSTANUL ULUM KRAI, LUMAJANG",BAIK,WILAYAH PTAS
525,"STAI UISU, PEMATANG SIANTAR, SUMATERA UTARA",BAIK,WILAYAH PTAS
526,"STAI WALISEMBILAN SEMARANG, JAWA TENGAH",BAIK,WILAYAH PTAS
527,POLITEKNIK NEGERI AMBON,BAIK,WILAYAH PTN
528,STAI RIYADHUL JANNAH SUBANG,BAIK,WILAYAH PTAS
529,UNIVERSITAS OTTOW GEISSLER,BAIK,WILAYAH 14
530,UNIVERSITAS SLAMET RIYADI,B,WILAYAH 06
531,SEKOLAH TINGGI ALKITAB JEMBER,BAIK,WILAYAH PTAS
533,SEKOLAH TINGGI AGAMA ISLAM AL-HIKMAH TEBING TINGGI,BAIK,WILAYAH PTAS
534,UNIVERSITAS ISLAM KALIMANTAN MUHAMMAD ARSYAD AL BANJARI BANJARMASIN,BAIK SEKALI,WILAYAH 11
535,"STAI MIFTAHUL ULA NGLAWAK KERTOSONO, NGANJUK",BAIK,WILAYAH PTAS
537,"STIT BABUSSALAM, ACEH TENGGARA",BAIK,WILAYAH PTAS
538,STT BALA KESELAMATAN PALU,BAIK,WILAYAH PTAS
540,"STAI DARUL ULUM KANDANGAN, KALIMANTAN SELATAN",BAIK,WILAYAH PTAS
542,UNIVERSITAS WIJAYAKUSUMA PURWOKERTO,BAIK SEKALI,WILAYAH 06
544,INSTITUT SAINS DAN TEKNOLOGI TERPADU SURABAYA,B,WILAYAH 07
545,STAI LUQMAN AL-HAKIM SURABAYA,BAIK,WILAYAH PTAS
546,INSTITUT AGAMA ISLAM NEGERI MADURA,B,WILAYAH PTAN
547,UNIVERSITAS NEGERI MALANG,UNGGUL,WILAYAH PTN
548,UNIVERSITAS STRADA INDONESIA,BAIK,WILAYAH 07
549,POLITEKNIK KESEHATAN PERMATA INDONESIA YOGYAKARTA,BAIK SEKALI,WILAYAH 05
550,UNIVERSITAS KATOLIK WIDYA MANDALA SURABAYA,UNGGUL,WILAYAH 07
551,UNIVERSITAS AL-QOLAM MALANG,BAIK SEKALI,WILAYAH PTAS
552,INSTITUT KESEHATAN MEDISTRA LUBUK PAKAM,UNGGUL,WILAYAH 01
553,UNIVERSITAS SAINS ALQUR AN,UNGGUL,WILAYAH 06
554,INSTITUT PARIWISATA DAN BISNIS INTERNASIONAL,UNGGUL,WILAYAH 08
555,IAIN PALANGKARAYA,UNGGUL,WILAYAH PTAN
556,SEKOLAH TINGGI TEKNIK KARAWANG,BAIK,WILAYAH 04
557,UNIVERSITAS KATOLIK WEETEBULA,BAIK SEKALI,WILAYAH 15
558,UNIVERSITAS ISLAM SUMATERA BARAT,BAIK,WILAYAH 10
559,SEKOLAH TINGGI TEOLOGI MISI TUAIAN SEMESTA BANDUNG,BAIK,WILAYAH PTAS
560,AKADEMI KEBIDANAN KERIS HUSADA,BAIK,WILAYAH 03
561,INSTITUT TEKNOLOGI DAN BISNIS KRISTEN BUKIT PENGHARAPAN,BAIK,WILAYAH 06
562,SEKOLAH TINGGI ILMU EKONOMI YPHB,BAIK,WILAYAH 13
563,SEKOLAH TINGGI ILMU KESEHATAN NOTOKUSUMO YOGYAKARTA,BAIK SEKALI,WILAYAH 05
564,UNIVERSITAS COKROAMINOTO MAKASSAR,BAIK SEKALI,WILAYAH 09
565,AKADEMI KEBIDANAN NUSANTARA INDONESIA LUBUKLINGGAU,BAIK,WILAYAH 02
566,UNIVERSITAS EKASAKTI,BAIK SEKALI,WILAYAH 10
567,UNIVERSITAS MUHAMMADIYAH PRINGSEWU LAMPUNG,BAIK SEKALI,WILAYAH 02
568,AKADEMI FARMASI YARSI PONTIANAK,BAIK SEKALI,WILAYAH 11
569,STAI DARUSSALAM LAMPUNG,BAIK,WILAYAH PTAS
570,STKIP MUHAMMADIYAH MANOKWARI,BAIK,WILAYAH 14
571,AKADEMI KEBIDANAN RANGGA HUSADA PRABUMULIH,BAIK,WILAYAH 02
572,"STAI RASYIDIYAH KHALIDIYAH AMUNTAI, KALIMANTAN SELATAN",B,WILAYAH PTAS
574,INSTITUT AGAMA ISLAM MIFTAHUL ULUM PAMEKASAN,BAIK,WILAYAH PTAS
575,SEKOLAH TINGGI TEOLOGI TRANSFORMASI INDONESIA,BAIK,WILAYAH PTAS
576,UNIVERSITAS SUMATERA SELATAN,BAIK,WILAYAH 02
578,STT INJILI DI PALEMBANG,BAIK,WILAYAH PTAS
579,SEKOLAH TINGGI AGAMA KRISTEN DIASPORA WAMENA,BAIK,WILAYAH PTAS
580,STAI SAYID SABIQ INDRAMAYU,BAIK,WILAYAH PTAS
582,UNIVERSITAS PGRI YOGYAKARTA,BAIK SEKALI,WILAYAH 05
583,AKADEMI KEBIDANAN MEDICA BAKTI PERSADA,BAIK,WILAYAH 13
585,UNIVERSITAS LAMBUNG MANGKURAT,UNGGUL,WILAYAH PTN
586,SEKOLAH TINGGI ILMU PERTANIAN MUJAHIDIN TOLI-TOLI,BAIK,WILAYAH 16
587,INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,BAIK SEKALI,WILAYAH 03
588,INSTITUT ILMU KESEHATAN DAN TEKNOLOGI MUHAMMADIYAH PALEMBANG,B,WILAYAH 02
589,UNIVERSITAS IBRAHIMY,B,WILAYAH 07
591,INSTITUT TEKNOLOGI DAN BISNIS MARITIM BALIK DIWA,B,WILAYAH 09
592,SEKOLAH TINGGI ILMU KESEHATAN PANRITA HUSADA BULUKUMBA,BAIK,WILAYAH 09
593,POLITEKNIK ELEKTRONIKA NEGERI SURABAYA,UNGGUL,WILAYAH PTN
595,SEKOLAH TINGGI ILMU KESEHATAN AKBIDYO,B,WILAYAH 05
596,UNIVERSITAS PANCA BHAKTI,BAIK SEKALI,WILAYAH 11
597,UNIVERSITAS RIAU KEPULAUAN,BAIK SEKALI,WILAYAH 17
599,UNIVERSITAS RIAU INDONESIA,BAIK SEKALI,WILAYAH 17
600,AKADEMI AKUNTANSI DAN MANAJEMEN PEMBANGUNAN,BAIK,WILAYAH 02
601,UNIVERSITAS ISLAM NEGERI FATMAWATI SUKARNO BENGKULU,UNGGUL,WILAYAH PTAN
602,IAIN LANGSA,BAIK SEKALI,WILAYAH PTAN
603,"STAI PENGEMBANGAN ILMU AL-QUR`AN, KOTA PADANG, SUMATERA BARAT",BAIK SEKALI,WILAYAH PTAS
604,SEKOLAH TINGGI ILMU EKONOMI SYARIAH BENGKALIS,BAIK SEKALI,WILAYAH PTAS
605,UNIVERSITAS WINAYA MUKTI,BAIK SEKALI,WILAYAH 04
606,UNIVERSITAS MUSLIM NUSANTARA AL-WASHLIYAH,UNGGUL,WILAYAH 01
607,UNIVERSITAS PERSADA INDONESIA YAI,BAIK SEKALI,WILAYAH 03
609,UNIVERSITAS BINA INSAN,BAIK,WILAYAH 02
610,INSTITUT AGAMA ISLAM NEGERI PAREPARE,BAIK SEKALI,WILAYAH PTAN
611,POLITEKNIK MUHAMMADIYAH MAKASSAR,BAIK,WILAYAH 09
612,IAIN SULTAN AMAI GORONTALO,B,WILAYAH PTAN
613,AKADEMI PARIWISATA DAN PERHOTELAN GANESHA,BAIK,WILAYAH 07
614,AKADEMI INFORMATIKA DAN KOMPUTER MEDICOM,BAIK,WILAYAH 01
615,UNIVERSITAS 17 AGUSTUS 1945 CIREBON,B,WILAYAH 04
616,UNIVERSITAS KUSUMA HUSADA SURAKARTA,BAIK,WILAYAH 06
617,UNIVERSITAS MULIA,BAIK,WILAYAH 11
618,POLITEKNIK ACEH,B,WILAYAH 13
619,UNIVERSITAS MERDEKA PASURUAN,BAIK,WILAYAH 07
620,UNIVERSITAS PROF DR MOESTOPO,B,WILAYAH 03
621,UNIVERSITAS MUHAMMADIYAH LAMONGAN,BAIK,WILAYAH 07
622,UNIVERSITAS SAHID,B,WILAYAH 03
623,UNIVERSITAS PGRI PALEMBANG,B,WILAYAH 02
624,UNIVERSITAS BHAKTI KENCANA,BAIK,WILAYAH 04
625,SEKOLAH TINGGI AGAMA ISLAM IBNU RUSYD,BAIK,WILAYAH PTAS
627,SEKOLAH TINGGI ILMU KESEHATAN PAMENTAS,BAIK,WILAYAH 03
628,POLITEKNIK YUSUF MANSUR,BAIK,WILAYAH 04
629,SEKOLAH TINGGI ILMU KESEHATAN MUHAMMADIYAH WONOSOBO,BAIK SEKALI,WILAYAH 06
630,INSTITUT PEMERINTAHAN DALAM NEGERI,UNGGUL,WILAYAH PTKL
631,UNIVERSITAS BHAYANGKARA JAKARTA RAYA,UNGGUL,WILAYAH 03
632,INSTITUT AGAMA ISLAM NEGERI KEDIRI,UNGGUL,WILAYAH PTAN
633,SEKOLAH TINGGI ILMU TARBIYAH AL WASHLIYAH ACEH TENGAH,BAIK,WILAYAH PTAS
634,POLITEKNIK INDUSTRI PETROKIMIA BANTEN,BAIK,WILAYAH PTKL
635,SEKOLAH TINGGI ILMU EKONOMI INDONESIA SURABAYA,B,WILAYAH 07
636,AKADEMI REFRAKSI OPTISI YLPTK,BAIK,WILAYAH 10
637,INSTITUT IPMI,BAIK SEKALI,WILAYAH 03
638,SEKOLAH TINGGI ILMU KESEHATAN YKY YOGYAKARTA,BAIK SEKALI,WILAYAH 05
640,AKADEMI KEPERAWATAN KEBONJATI,BAIK,WILAYAH 04
641,POLITEKNIK BENTARA CITRA BANGSA,TIDAK TERAKREDITASI,WILAYAH 03
642,INSTITUT TEKNOLOGI ROKAN HILIR,BAIK,WILAYAH 17
643,STT BINA MUDA WIRAWAN TANGERANG,BAIK,WILAYAH PTAS
644,INSTITUT AGAMA ISLAM SUNAN GIRI PONOROGO,BAIK SEKALI,WILAYAH PTAS
645,UNIVERSITAS KEBANGSAAN REPUBLIK INDONESIA,BAIK SEKALI,WILAYAH 04
646,UNIVERSITAS KH. A. WAHAB HASBULLAH,BAIK SEKALI,WILAYAH 07
647,UNIVERSITAS PENDIDIKAN GANESHA,UNGGUL,WILAYAH PTN
648,STISIP PETTA BARINGENG SOPPENG,BAIK,WILAYAH 09
649,SEKOLAH TINGGI TEOLOGI GEREJA METHODIST INDONESIA BANDAR BARU,BAIK,WILAYAH PTAS
650,SEKOLAH TINGGI TEOLOGI ANDERSON MANADO,BAIK,WILAYAH PTAS
651,AKADEMI KEPERAWATAN BUNDA DELIMA,BAIK,WILAYAH 02
652,SEKOLAH TINGGI ILMU EKONOMI MULIA PRATAMA,BAIK,WILAYAH 04
653,INSTITUT TEKNOLOGI BISNIS DAN BAHASA DIAN CIPTA CENDIKIA,BAIK,WILAYAH 02
654,STT SULBAR DI MAMUJU,BAIK,WILAYAH PTAS
655,POLITEKNIK INTERNASIONAL TAMANSISWA MOJOKERTO,BAIK,WILAYAH 07
656,INSTITUT TEKNOLOGI BISNIS DAN KESEHATAN MUHAMMADIYAH MUNA BARAT,BAIK,WILAYAH 09
657,STIMIK KUPANG,BAIK,WILAYAH 15
658,INSTITUT TEKNOLOGI CALVIN,BAIK,WILAYAH 03
660,POLITEKNIK SEMEN INDONESIA,BAIK,WILAYAH 07
661,POLITEKNIK SUKABUMI,BAIK,WILAYAH 04
663,AKADEMI BISNIS LOMBOK,BAIK,WILAYAH 08
664,POLITEKNIK KARYA HUSADA,BAIK,WILAYAH 03
665,SEKOLAH TINGGI ILMU EKONOMI GALILEO,BAIK,WILAYAH 17
666,SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER HARAPAN IBU,BAIK,WILAYAH 13
667,UNIVERSITAS SEMARANG,UNGGUL,WILAYAH 06
668,STIH PUTRI MAHARAJA,BAIK,WILAYAH 10
