institution_name,province,prodi_normalized,campus_accreditation,average_yearly_fee,cluster_label,link
INSTITUT TEKNOLOGI NASIONAL YOGYAKARTA,DI YOGYAKARTA,PERENCANAAN WILAYAH KOTA,B,18225000.0,DI YOGYAKARTA | Lainnya | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,TEKNOLOGI PANGAN,BAIK,18000000.0,DI YOGYAKARTA | Lainnya | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,TEKNOLOGI PANGAN,BAIK SEKALI,16000000.0,DI YOGYAKARTA | Lainnya | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,GURU ANAK USIA DINI,B,16000000.0,DI YOGYAKARTA | Pendidikan | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,GURU PAUD,B,16000000.0,DI YOGYAKARTA | Pendidikan | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,GURU SEKOLAH DASAR,B,16000000.0,DI YOGYAKARTA | Pendidikan | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,BIMBINGAN KONSELING,B,12200000.0,DI YOGYAKARTA | Pendidikan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,BIMBINGAN KONSELING,B,12100000.0,DI YOGYAKARTA | Pendidikan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,GURU ANAK USIA DINI,BAIK,12100000.0,DI YOGYAKARTA | Pendidikan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,GURU SEKOLAH DASAR,B,12100000.0,DI YOGYAKARTA | Pendidikan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,OLAHRAGA,BAIK,12100000.0,DI YOGYAKARTA | Pendidikan | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
UNIVERSITAS NAHDLATUL ULAMA YOGYAKARTA,DI YOGYAKARTA,GURU SEKOLAH DASAR,BAIK SEKALI,12000000.0,DI YOGYAKARTA | Pendidikan | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS MERCU BUANA YOGYAKARTA,DI YOGYAKARTA,AGROTEKNOLOGI,A,33065000.0,DI YOGYAKARTA | Sains & Agro | Mahal (20-50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-mercu-buana-yogyakarta
UNIVERSITAS MERCU BUANA YOGYAKARTA,DI YOGYAKARTA,PERTANIAN,B,33065000.0,DI YOGYAKARTA | Sains & Agro | Mahal (20-50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-mercu-buana-yogyakarta
UNIVERSITAS MERCU BUANA YOGYAKARTA,DI YOGYAKARTA,PETERNAKAN,B,33065000.0,DI YOGYAKARTA | Sains & Agro | Mahal (20-50jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-mercu-buana-yogyakarta
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,AGROTEKNOLOGI,A,27000000.0,DI YOGYAKARTA | Sains & Agro | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,KIMIA,A,25000000.0,DI YOGYAKARTA | Sains & Agro | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-islam-indonesia
UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,STATISTIK,B,25000000.0,DI YOGYAKARTA | Sains & Agro | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-islam-indonesia
UNIVERSITAS SANATA DHARMA,DI YOGYAKARTA,BIOLOGI,A,18925000.0,DI YOGYAKARTA | Sains & Agro | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-sanata-dharma
UNIVERSITAS SANATA DHARMA,DI YOGYAKARTA,FISIKA,A,18925000.0,DI YOGYAKARTA | Sains & Agro | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-sanata-dharma
