parent_institution_name,prodi_name,jenjang,wilayah,no_sk,tahun_sk,akreditasi_prodi,tanggal_kadaluarsa
Sekolah Tinggi Agama Islam Muhammadiyah Tulungagung,Ekonomi Syari`ah,S1,PTAS,6647/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-03-06
Universitas Muhammadiyah Luwuk Banggai,Teknik Sipil,S1,16,6661/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-11-25
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Kisaran,Akuntansi,S1,01,6646/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2026-12-02
Sekolah Tinggi Ilmu Fiqih Syeikh Nawawi Tanara Banten,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1,PTAS,9835/SK/BAN-PT/Ak.KP/S/XI/2022,2022,Baik,2025-11-24
Sekolah Tinggi Teologi Gereja Injili Di Indonesia,Teologi,S1,PTAS,8731/SK/BAN-PT/Ak.KP/S/X/2022,2022,Baik,2025-11-21
Sekolah Tinggi Teologi Intheos Surakarta,Teologi (Akademik),S1,PTAS,6718/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,B,2027-10-18
Universitas Pendidikan Indonesia,Perpustakaan Dan Sains Informasi,S1,PTN,6738/SK/BAN-PT/Ak.Ppj/S/X/2022,2022,A,2027-10-18
Universitas Dr Soetomo,Ilmu Administrasi,S2,07,6732/SK/BAN-PT/Ak.Ppj/M/X/2022,2022,B,2027-10-18
Universitas Islam Negeri K.H. Abdurrahman Wahid Pekalongan,Ekonomi Syariah,S1,PTAN,6784/SK/BAN-PT/Ak-PNB/S/X/2022,2022,B,2026-08-12
Institut Agama Islam Faqih Asy'ari Kediri,Pendidikan Agama Islam,S1,PTAS,6693/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
STKIP Muhammadiyah Muara Bungo,Pendidikan Teknologi Informasi,S1,10,6677/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Universitas Nahdlatul Ulama Sumatera Utara,Ilmu Dan Teknologi Pangan,S1,01,6698/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Universitas Pembangunan Nasional Veteran Jakarta,Teknik Elektro,S1,PTN,6680/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Padang Lawas,Pendidikan Bahasa Inggris,S1,01,6678/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Universitas Hasyim Asy'ari Tebuireng Jombang,Pendidikan Bahasa Inggris,S1,07,6689/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
Institut Agama Islam Negeri Batusangkar,Bimbingan Konseling,S1,PTAN,6702/SK/BAN-PT/Ak/S/X/2022,2022,Baik Sekali,2027-10-04
Universitas Trilogi,Sistem Informasi,S1,03,6692/SK/BAN-PT/Ak/S/X/2022,2022,Baik,2027-10-04
