institution_code,institution_name,akreditasi_institusi,no_sk,tahun_sk,wilayah,tanggal_kadaluarsa
banpt-162,Institut Agama Islam Sahid,Baik Sekali,2698/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-09
banpt-163,Sekolah Tinggi Pariwisata Mataram,Baik Sekali,2693/SK/BAN-PT/Ak/PT/IX/2025,2025,08,2030-09-09
banpt-164,Akademi Teknik Elektromedik Andakara,Baik,2694/SK/BAN-PT/Ak/PT/IX/2025,2025,03,2030-09-09
banpt-165,Institut Teknologi AI Mahrusiyah,Baik,2696/SK/BAN-PT/Ak/PT/IX/2025,2025,07,2030-09-09
banpt-166,Sekolah Tinggi Alkitab Surabaya,Tidak Terakreditasi,2695/SK/BAN-PT/Ak-TMSP/PT/IX/2025,2025,PTAS,
banpt-167,AMIK Jabal Ghafur,Tidak Terakreditasi,2697/SK/BAN-PT/Ak-TMSP/PT/IX/2025,2025,13,
banpt-168,Institut Teknologi dan Bisnis Arungpalakka,Tidak Terakreditasi,2691/SK/BAN-PT/Ak-TMSP/PT/IX/2025,2025,09,
banpt-169,Universitas Nusa Megarkencana,B,2689/SK/BAN-PT/Ak.Ppj/PT/IX/2025,2025,05,2030-07-06
banpt-170,Universitas Alifah Padang,Baik Sekali,2674/SK/BAN-PT/Ak-PNB/PT/IX/2025,2025,10,2027-08-16
banpt-171,Poltekkes Kemenkes Semarang,Unggul,2668/SK/BAN-PT/Ak/PT/IX/2025,2025,PTKL,2030-09-02
banpt-172,Sekolah Tinggi Agama Islam KH. Zainuddin Ponpes Mojosari Nganjuk,Baik,2669/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-02
banpt-173,Universitas Prima Nusantara Bukittinggi,Unggul,2686/SK/BAN-PT/Ak/PT/IX/2025,2025,10,2030-09-02
banpt-174,Sekolah Tinggi Agama Islam Al Badar Cipulus Purwakarta,Baik,2657/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-02
banpt-175,Institut Agama Islam Hasanuddin Pare,Baik Sekali,2670/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-02
banpt-176,Politeknik Industri ATMI,Baik Sekali,2658/SK/BAN-PT/Ak/PT/IX/2025,2025,04,2030-09-02
banpt-177,Universitas Nusa Putra,Unggul,2659/SK/BAN-PT/Ak/PT/IX/2025,2025,04,2030-09-02
banpt-178,Politeknik Penerbangan Surabaya,Unggul,2673/SK/BAN-PT/Ak/PT/IX/2025,2025,PTKL,2030-09-02
banpt-179,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Biak,Baik,2660/SK/BAN-PT/Ak/PT/IX/2025,2025,14,2030-09-02
banpt-180,Sekolah Tinggi Ilmu Tarbiyah Syamsuddhuha Aceh Utara Banda Aceh,Baik Sekali,2661/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-02
banpt-181,Universitas Primakara,Baik Sekali,2662/SK/BAN-PT/Ak/PT/IX/2025,2025,08,2030-09-02
banpt-182,Politeknik Mardira Indonesia,Baik,2663/SK/BAN-PT/Ak/PT/IX/2025,2025,04,2030-09-02
banpt-183,Sekolah Tinggi Ilmu Kesehatan RS Prof. Dr. J.A. Latumeten,Baik,2664/SK/BAN-PT/Ak/PT/IX/2025,2025,12,2030-09-02
banpt-184,"STAI Babunnajah Pandeglang, Banten",Baik Sekali,2665/SK/BAN-PT/Ak/PT/IX/2025,2025,PTAS,2030-09-02
