quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code,cluster_kmodes,cluster_category
-,rencanamu-209,banpt-2318,-,-,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,C,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,TEKNIK INFORMATIKA,INFORMATIKA,S1,C,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,ILMU KESEHATAN MASYARAKAT,KESEHATAN MASYARAKAT,S1,C,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,MATEMATIKA,MATEMATIKA,S1,C,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,ILMU PEMERINTAHAN,PEMERINTAHAN,S1,B,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,TEKNIK PERTAMBANGAN,PERTAMBANGAN,S1,C,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,ILMU POLITIK,POLITIK,S1,C,825,0,Ekonomi & Bisnis
-,-,banpt-2318,-,-,PSIKOLOGI,PSIKOLOGI,S1,BAIK,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,TEKNIK SIPIL,SIPIL,S1,C,825,0,Ekonomi & Bisnis
-,rencanamu-209,banpt-2318,-,-,SOSIOLOGI,SOSIOLOGI,S1,C,825,0,Ekonomi & Bisnis
-,-,banpt-2318,-,-,TEKNOLOGI HASIL PERIKANAN,TEKNOLOGI HASIL PERIKANAN,S1,B,825,0,Ekonomi & Bisnis
-,-,banpt-3227,-,-,AGRIBISNIS,AGRIBISNIS,S1,BAIK,933,0,Ekonomi & Bisnis
-,-,banpt-3227,-,-,MANAJEMEN SUMBER DAYA PERAIRAN,BUDIDAYA PERAIRAN,S1,BAIK,933,0,Ekonomi & Bisnis
-,-,banpt-3227,-,-,EKONOMI PEMBANGUNAN,EKONOMI PEMBANGUNAN,S1,BAIK,933,0,Ekonomi & Bisnis
-,-,banpt-3227,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI,933,0,Ekonomi & Bisnis
-,-,banpt-3227,-,-,PETERNAKAN,PETERNAKAN,S1,BAIK,933,0,Ekonomi & Bisnis
-,-,banpt-3227,-,-,TEKNOLOGI HASIL PERIKANAN,TEKNOLOGI HASIL PERIKANAN,S1,BAIK,933,0,Ekonomi & Bisnis
