institution_name,province,campus_accreditation,average_yearly_fee,kategori_final,link
UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,A,18000000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Unggul (A),https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
SEKOLAH TINGGI ILMU KESEHATAN BETHESDA YAKKUM,DI YOGYAKARTA,B,17995000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),-
UNIVERSITAS RESPATI YOGYAKARTA,DI YOGYAKARTA,B,17800000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-respati-yogyakarta
STIKES YOGYAKARTA,DI YOGYAKARTA,BAIK,17225000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU ADMINISTRASI AAN,DI YOGYAKARTA,BAIK SEKALI,17005000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),-
UNIVERSITAS KRISTEN DUTA WACANA,DI YOGYAKARTA,A,16000000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Unggul (A),https://campus.quipper.com/directory/universitas-kristen-duta-wacana
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,A,16000000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Unggul (A),https://campus.quipper.com/directory/universitas-ahmad-dahlan
SEKOLAH TINGGI PARIWISATA AMBARRUKMO YOGYAKARTA,DI YOGYAKARTA,B,14450000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/sekolah-tinggi-pariwisata-ambarrukmo-yogyakarta
UNIVERSITAS SARJANAWIYATA TAMANSISWA,DI YOGYAKARTA,B,14430003.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-sarjanawiyata-tamansiswa
SEKOLAH TINGGI ILMU EKONOMI YKPN,DI YOGYAKARTA,UNGGUL,14000000.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Unggul (A),https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-ykpn
UNIVERSITAS KRISTEN IMMANUEL,DI YOGYAKARTA,B,13575923.0,DI YOGYAKARTA - Menengah (15-40 Jt) - Baik Sekali (B),-
INSTITUT TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,BAIK,12600000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/institut-teknologi-yogyakarta
UNIVERSITAS TEKNOLOGI YOGYAKARTA,DI YOGYAKARTA,B,12200000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-teknologi-yogyakarta
UNIVERSITAS PGRI YOGYAKARTA,DI YOGYAKARTA,BAIK SEKALI,12100000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik Sekali (B),https://rencanamu.id/cari-kampus/universitas-pgri-yogyakarta
UNIVERSITAS NAHDLATUL ULAMA YOGYAKARTA,DI YOGYAKARTA,BAIK,12000000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS TEKNOLOGI DIGITAL INDONESIA,DI YOGYAKARTA,B,11669000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI BAHASA ASING LIA YOGYAKARTA,DI YOGYAKARTA,B,10950000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/sekolah-tinggi-bahasa-asing-lia-yogyakarta
UNIVERSITAS AKPRIND INDONESIA,DI YOGYAKARTA,BAIK SEKALI,10630000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik Sekali (B),-
SEKOLAH TINGGI ARSITEKTUR YKPN YOGYAKARTA,DI YOGYAKARTA,BAIK,10500000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik,-
INSTITUT PERTANIAN STIPER,DI YOGYAKARTA,B,10356250.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/institut-pertanian-stiper
UNIVERSITAS AMIKOM YOGYAKARTA,DI YOGYAKARTA,BAIK SEKALI,10300000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-amikom-yogyakarta
SEKOLAH TINGGI ILMU EKONOMI YKP,DI YOGYAKARTA,B,9990000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik Sekali (B),-
UNIVERSITAS JANABADRA,DI YOGYAKARTA,B,9700000.0,DI YOGYAKARTA - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-janabadra
