faculty,building_name,address,quipper_institution_code
ALL,Kampus Utama,"Jalan Perak Barat Nomor 173
Surabaya, Jawa Timur 60165",122
ALL,Kampus Vokasi,"Jalan Tipar Cakung Nomor 81A, RT 3 RW 7, Cakung Barat, Kecamatan Cakung, Kota Jakarta Timur, 13910",123
ALL,Kampus E,Jalan Cirendeu Raya Nomor 6 Tangerang Selatan,123
ALL,Kampus B,"Jalan Raya Industri Jababeka Nomor 69, Mekarmukti, Cikarang Utara, Kabupaten Bekasi 17530",123
ALL,Kampus Pusat,Jalan Pangkalan Asem Raya Nomor 55 Cempaka Putih Jakarta Pusat 10530,123
ALL,Kampus D,"Jalan Ir. H. Juanda Nomor 27 Kemiri Muka, Beji, Kota Depok",123
ALL,Kampus C,"Jalan TB Simatupang Nomor 005 RT 3 RW 11, Gedong, Kecamatan Pasar Rebo, Kota Jakarta Timur, 13760",123
ALL,Kampus F,Jalan K. H. Hasyim Ashari Nomor 338 Sudimara Pinang Tangerang Kota,123
ALL,Kampus Pascasarjana,Jalan Letjen Suprapto Nomor 504 Jakarta Pusat 10530,123
ALL,Kampus Utama,Jalan Serayu Nomor 79 Madiun 63133,124
