cluster,institution_code,institution_name,province,body_type,campus_accreditation,faculty,prodi,edu_level,accreditation,average_yearly_fee,average_semester_fee
1,85,UNIVERSITAS 17 AGUSTUS 1945 SURABAYA,JAWA TIMUR,SWASTA,A,-,SASTRA JEPANG,S1,B,53150000.0,26575000.0
1,82,INSTITUT SAINS DAN TEKNOLOGI NASIONAL,D.K.I. JAKARTA,SWASTA,B,FAKULTAS SAINS DAN TEKNOLOGI INFORMASI,MATEMATIKA,S1,BAIK,55500000.0,27750000.0
1,82,INSTITUT SAINS DAN TEKNOLOGI NASIONAL,D.K.I. JAKARTA,SWASTA,B,-,ARSITEKTUR LANSKAP,S1,BAIK,55500000.0,27750000.0
1,81,UNIVERSITAS KRISTEN KRIDA WACANA,D.K.I. JAKARTA,SWASTA,C,FAKULTAS KEDOKTERAN DAN ILMU KESEHATAN,KEPERAWATAN,S1,BAIK,56000000.0,28000000.0
1,81,UNIVERSITAS KRISTEN KRIDA WACANA,D.K.I. JAKARTA,SWASTA,C,-,KEDOKTERAN,S1,B,56000000.0,28000000.0
1,80,UNIVERSITAS KOPERASI INDONESIA,JAWA BARAT,SWASTA,BAIK SEKALI,-,SAINS DATA,S1,BAIK,57050000.0,28525000.0
1,78,UNIVERSITAS SWISS GERMAN,BANTEN,SWASTA,BAIK SEKALI,-,KOMUNIKASI,S1,B,59000000.0,29500000.0
1,78,UNIVERSITAS SWISS GERMAN,BANTEN,SWASTA,BAIK SEKALI,-,MESIN,S1,C,59000000.0,29500000.0
1,76,UNIVERSITAS TARUMANAGARA,D.K.I. JAKARTA,SWASTA,A,-,INFORMATIKA,S1,B,60100000.0,30050000.0
1,73,UNIVERSITAS PELITA HARAPAN,BANTEN,SWASTA,B,-,KEPERAWATAN,S1,BAIK SEKALI,61000000.0,30500000.0
1,73,UNIVERSITAS PELITA HARAPAN,BANTEN,SWASTA,B,-,TEKNOLOGI PANGAN,S1,BAIK SEKALI,61000000.0,30500000.0
1,73,UNIVERSITAS PELITA HARAPAN,BANTEN,SWASTA,B,-,SISTEM INFORMASI,S1,BAIK SEKALI,61000000.0,30500000.0
1,73,UNIVERSITAS PELITA HARAPAN,BANTEN,SWASTA,B,-,BIOLOGI,S1,BAIK SEKALI,61000000.0,30500000.0
1,74,UNIVERSITAS LINTAS INTERNASIONAL INDONESIA,BANTEN,SWASTA,BAIK SEKALI,-,KIMIA,S1,BAIK,61000000.0,30500000.0
1,73,UNIVERSITAS PELITA HARAPAN,BANTEN,SWASTA,B,-,MATEMATIKA,S1,B,61000000.0,30500000.0
1,74,UNIVERSITAS LINTAS INTERNASIONAL INDONESIA,BANTEN,SWASTA,BAIK SEKALI,-,HUBUNGAN INTERNASIONAL,S1,BAIK,61000000.0,30500000.0
1,74,UNIVERSITAS LINTAS INTERNASIONAL INDONESIA,BANTEN,SWASTA,BAIK SEKALI,-,ELEKTRO,S1,BAIK,61000000.0,30500000.0
1,73,UNIVERSITAS PELITA HARAPAN,BANTEN,SWASTA,B,-,ARSITEKTUR,S1,BAIK SEKALI,61000000.0,30500000.0
1,71,PRESIDENT UNIVERSITY,JAWA BARAT,SWASTA,A,FACULTY OF BUSINESS,AKTUARIA,S1,-,64000000.0,32000000.0
1,71,PRESIDENT UNIVERSITY,JAWA BARAT,SWASTA,A,FACULTY OF ENGINEERING,ELEKTRO,S1,B,64000000.0,32000000.0
1,70,INSTITUT IPMI,D.K.I. JAKARTA,SWASTA,BAIK SEKALI,-,BISNIS DIGITAL,S1,BAIK,65000000.0,32500000.0
1,69,UNIVERSITAS KEBANGSAAN REPUBLIK INDONESIA,JAWA BARAT,SWASTA,BAIK SEKALI,-,LINGKUNGAN,S1,BAIK SEKALI,66200003.0,33100001.0
1,69,UNIVERSITAS KEBANGSAAN REPUBLIK INDONESIA,JAWA BARAT,SWASTA,BAIK SEKALI,-,MANAJEMEN,S1,BAIK,66200003.0,33100001.0
1,68,UNIVERSITAS KATOLIK PARAHYANGAN,JAWA BARAT,SWASTA,A,-,STUDI HUMANITAS,S1,BAIK,66400000.0,33200000.0
