quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code
-,-,banpt-1348,-,-,,PERTANIAN,S1,BAIK,1036
-,-,banpt-1348,-,-,,PETERNAKAN,S1,BAIK,1036
-,-,banpt-1161,-,-,,ADMINISTRASI NEGARA,S1,BAIK,581
-,-,banpt-1161,-,-,,ILMU KOMUNIKASI,S1,BAIK,581
-,-,banpt-1161,-,-,,KEWIRAUSAHAAN,S1,BAIK,581
-,-,banpt-629,-,-,,BISNIS DIGITAL,S1,BAIK,127
-,-,banpt-629,-,-,,KEWIRAUSAHAAN,S1,BAIK,127
-,-,banpt-629,-,-,,PARIWISATA,S1,UNGGUL,127
-,-,banpt-2133,-,-,,BISNIS DIGITAL,S1,BAIK,122
-,-,banpt-2133,-,-,,KEWIRAUSAHAAN,S1,BAIK,122
-,-,banpt-2133,-,-,,PARIWISATA,S1,UNGGUL,122
quipper-69,-,banpt-2936,-,SARJANA,,GURU SEKOLAH DASAR,S1,BAIK,1167
quipper-69,-,-,-,SARJANA,,ILMU KOMUNIKASI,S1,-,1167
-,-,banpt-2936,-,-,,INFORMATIKA,S1,BAIK,1167
quipper-69,-,banpt-2936,-,SARJANA,,SASTRA INGGRIS,S1,B,1167
quipper-69,-,banpt-2936,-,SARJANA,,SASTRA JEPANG,S1,B,1167
-,-,banpt-3825,-,-,,BIOLOGI,S1,UNGGUL,965
-,-,banpt-3825,-,-,,FISIKA,S1,BAIK SEKALI,965
-,-,banpt-3825,-,-,,GURU SEKOLAH DASAR,S1,UNGGUL,965
-,-,banpt-3825,-,-,,MATEMATIKA,S1,UNGGUL,965
-,-,banpt-3825,-,-,,PANCASILA KEWARGANEGARAAN,S1,UNGGUL,965
-,-,banpt-3825,-,-,,PENGETAHUAN SOSIAL,S1,UNGGUL,965
-,-,banpt-3825,-,-,,SISTEM INFORMASI,S1,BAIK SEKALI,965
-,-,banpt-3825,-,-,,TEKNOLOGI INFORMASI,S1,UNGGUL,965
-,-,banpt-2664,-,-,,GURU ANAK USIA DINI,S1,BAIK,215
-,-,banpt-2664,-,-,,GURU SEKOLAH DASAR,S1,BAIK,215
-,-,banpt-2664,-,-,,JASMANI,S1,BAIK,215
-,-,banpt-2664,-,-,,PENGETAHUAN ALAM,S1,BAIK,215
-,-,banpt-2396,-,-,,BIOLOGI,S1,BAIK,1803
